taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources
Alchemilla alpina,Perennial;hemicryptophyte,"Meadows, herb slopes, moist rock ledges;Alpine and subalpine grasslands",Stem erect ;Stem ascending to prostrate ,Little or no vegetative spread;epigeogeneous stems,stems;Stems,0.1-0.2;0.082; 0.1; 0.15; 0.06; 0.07;0.2;0.05-0.2;0.1,,,,,palmately,terminal;abaxial;adaxial;Cauline,oblanceolate;elliptic;orbicular;compound;flat;oblong;reniform,obtuse,,toothed;elliptic;flat,glabrous;soft hairs,2.5,3.5,2.5,3.5,,,,4-merous,,branches,green,,,,hermaphrodite,,,,1,,,none,,,,,,,,,,water;   sheep;   cattle;domestic animal;   horse,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 10}, 'fna': {'text': 8, 'tabular': 1}}"
Alchemilla filicaulis,Perennial;perennials;hemicryptophyte,,Stem ascending to prostrate ,Little or no vegetative spread,stem;Stems,0.4;0.05;0.225; 0.05,hairy,hairy,,,,basal,lobed;simple;flat;reniform;undulate,lobed;obtuse,rounded,lobed and toothed;flat;undulate,dense hairs,,,,,cymes,,,4-merous,,branches,green,,,,hermaphrodite,,,,1,,,none,,,,,,,,,,   cattle;   sheep;   horse,hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 7, 'tabular': 12}, 'fna': {'text': 8, 'tabular': 0}}"
Alchemilla glabra,perennial;perennials;hemicryptophyte,Meadows;Mountain hay meadows;Alpine and subalpine grasslands,Stem erect ;Stem ascending to prostrate ,Little or no vegetative spread;epigeogeneous stems,stems;Stems,0.6;0.245; 0.6; 0.04; 0.03,glabrous,glabrous,,,,basal,lobed;simple;ovate;flat;reniform;triangular;undulate,triangular;ovate;lobed;obtuse,rounded,lobed and toothed;flat;ovate;undulate,glabrous,,,,,clustered;clusters,,,4-merous,,branches,green,,,,hermaphrodite,,,,1,,,none,,,,,,,,,,   shaken fresh water;   cattle;   sheep;   horse,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 9, 'tabular': 12}, 'fna': {'text': 7, 'tabular': 1}}"
Alchemilla filicaulis subsp. vestita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 0}, 'ecoflora': {'tabular': 0}, 'fna': {'tabular': 0}}"
Alchemilla vulgaris,perennials,Dry grasslands;Coarse permanent grassland and tall herbs. usually mown but little grazed,Stem erect ,epigeogeneous stems,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water;   sheep;   cattle;domestic animal;   horse;   commerce,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'tabular': 0}, 'fna': {'tabular': 0}}"
Alnus glutinosa,perennials;phanerophyte,"Stream banks, moist flood plains, damp depressions, borders of wetlands",Stem erect ;Trees;tree,Buds;adventitious buds on roots;Little or no vegetative spread;buds,trunks,3.0; 20.0;20.0;20;3.0,glabrous,glabrous,,,,,obcordate;retuse;obovate;obtuse;simple;serrate;flat;truncate;dentate;cuneate,retuse;acute;truncate;cuneate;obtuse,truncate;rounded;cuneate,toothed;serrate;flat;cuneate,glabrous;viscid,3,8;9,3,9,,,,,,,pale brown,,,,monoecious,,,,,,,wind,,,,,,,,,,bird;water;   car or other vehicle;   hay making machinery;   cattle;   horse;   standing fresh water;   donkey,,,,10-100,,,,,,,28,tap root,deep,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 12, 'tabular': 15}, 'fna': {'text': 13, 'tabular': 1}}"
Alopecurus alpinus,perennial;hemicryptophyte,,,Tussock forming graminoid;rhizomes,rhizomes,0.6;0.1;0.1-0.45,,,,,,,flat;pointed;simple,acute,,entire;flat,glabrous,0.25,22,0.25,22,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,,awned;hairs;hairless,,,,,,,,,,,fibrous,,,"{'leda': {'tabular': 0}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'tabular': 0}}"
Alopecurus geniculatus,perennial;perennials;annuals;hemicryptophyte,,Stem ascending to prostrate ,Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface;epigeogeneous stems,,0.4;0.15;0.15-0.45;0.2,,,,,,,flat;simple,acute,,entire;flat,glabrous,0.4;0.2,0.7;12,2;0.2,12,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird;   sheep;   car or other vehicle;   hay making machinery;   cattle;domestic animal;   shaken fresh water,awned;awn;hairless;awns;hairs,,,,,,,,,,28,fibrous,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 11}, 'fna': {'text': 7, 'tabular': 0}}"
Ammophila arenaria,perennial;perennials;hemicryptophyte,,Stem erect ,hypogeogeneous stems;Rhizome far creeping;rhizomes;epigeogeneous stems,rhizomes,0.6-1.2;0.8;1.2;0.6;0.5-1.2,,,,,convolute,,convolute;pointed;flat;simple,acute,,entire;flat,glabrous,0.6,0.6;90,0.6;60,90,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,,awn;bristle;hairs,,,,,,,,,,14,fibrous,,100,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 11, 'tabular': 12}, 'fna': {'text': 10, 'tabular': 0}}"
Anagallis tenella,perennial;perennials;chamaephyte,Coastal habitats,Stem ascending to prostrate ,Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface,Stems,0.15;0.1; 0.05; 0.12;0.05,glabrous,glabrous,,,,,simple;ovate,ovate;obtuse,,entire;ovate,glabrous,0.5,0.5,0.5,0.5,,,,,,,,,,,hermaphrodite,,,,,,,,,,,,,,,,,bird;   shaken fresh water,filaments,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 10}, 'fna': {'tabular': 0}}"
Andromeda polifolia,perennials;chamaephyte,,Stem erect ;shrub;Stem ascending to prostrate ,hypogeogeneous stems;epigeogeneous stems;Seeds;Rhizome far creeping;bud;rhizome,stems;rhizome,0.05-0.1;0.05-0.8;0.3;0.3; 0.225,glabrous,glabrous,,,,alternate,elliptic;linear;simple;revolute,apiculate;acute,,entire;elliptic;linear;revolute,glabrous,0.1;0.2,0.8,3.5;2,4;5,racemes;umbel,,,5-merous,,,pale pink;whitish,,,,hermaphrodite,10,,,,,,insect,,,,,,,,,,   shaken fresh water;   sheep;   cattle,awned;hairs,brown,44,10-100,1,1,1,1,,,48,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 17, 'tabular': 14}, 'fna': {'text': 14, 'tabular': 0}}"
Anemone nemorosa,perennial;perennials;geophyte,Woodland fringes and clearings and tall forb habitats;Cultivated areas of gardens and parks;Grassland and tall forb habitats;Dry grasslands;Broadleaved deciduous woodland;Coniferous woodland,Stem erect ,Rhizome shortly creeping;hypogeogeneous stems;rhizome,stem;stems;rhizome,0.06;0.18; 0.175; 0.06;0.3,hairy,hairy,,,palmately,,cut;compound;lobed;cuneate,acute;lobed;cuneate,cuneate,lobed and toothed;cuneate,,,,,,,,,,,,white,,,,hermaphrodite,50,,,Oct-30,,,insect,,,,,,,,,,   ant;water;   sheep;   cattle;   shaken fresh water;   commerce,,,47,10-100,,,,,,,,adventitious,shallow,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 10, 'tabular': 16}, 'fna': {'tabular': 0}}"
Angelica sylvestris,perennial;perennials;strict monocarpic bi-annuals and poly-annuals;hemicryptophyte,Woodland fringes and clearings and tall forb habitats;Broadleaved deciduous woodland;Coniferous woodland;Water-fringing reedbeds and tall helophytes other than canes,Stem erect ,buds;root-splitters;Little or no vegetative spread;epigeogeneous stems,Stem,2.0;0.3;2;1.15; 0.3; 0.9,glabrous;soft hairs,soft hairs,,pinnate,sheathing,,compound,acute,,toothed,stiff hairs,30,60,30,60,,,,,,,white,,pink;white,,hermaphrodite,,,,,,,insect,,,,ovate,,,,,,water;   sheep;   cattle;   shaken fresh water;   standing fresh water;   commerce,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 12}, 'fna': {'tabular': 0}}"
Antennaria dioica,perennial;perennials;chamaephyte,Grassland and tall forb habitats;Dry slopes on tundra,Stem erect ,rooting horizontal stems at or above soil surface;hypogeogeneous stems;epigeogeneous stems;stolons;Stolons;Shortly creeping stolons in illuminated medium,Stolons;stem;stolons,0.1;0.05;0.2;0.05-0.2,woolly;soft hairs,soft hairs,,,,Basal;abaxial;adaxial;erect;rosettes;Cauline,rhombic;obovate;spatulate;lanceolate;simple;blunt;linear,apiculate;acute;mucronate,,entire;linear,glabrous;soft hairs,0.3;1,0.6;4,0.3;1,1.8;4,capitula;umbel,,,,,,white,,,,dioecious,,,,,,,insect,,,,,,,,,,   commerce,pappi;pappus,,,,,,,,,,28,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'text': 13, 'tabular': 1}}"
Anthoxanthum odoratum,perennial;perennials;hemicryptophyte,Woodland fringes and clearings and tall forb habitats;Perennial calcareous grassland and basic steppes;Mixed taiga woodland with [Betula];Tundra;Grassland and tall forb habitats;Dry grasslands;Weathered rock and outcrop habitats;Broadleaved deciduous woodland;Coniferous woodland,Stem erect ,Tussock forming graminoid;epigeogeneous stems,,0.5;0.1-1;0.2;0.165,,,,,,,flat;acuminate;simple,acute;acuminate,rounded,entire;flat;acuminate,hairy;glabrous,0.5;0.3,1;30,0.5;1,31;30,,bisexual,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,water;   sheep;   car or other vehicle;   hay making machinery;   cattle;   shaken fresh water;   clothes and footwear,awn;awnless;hairs,,,,,,,,,,"10,20",fibrous,shallow,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 13}, 'fna': {'text': 8, 'tabular': 0}}"
Anthyllis vulneraria,perennial;perennials;annuals;hemicryptophyte;strict monocarpic bi-annuals and poly-annuals,Grassland and tall forb habitats;Perennial calcareous grassland and basic steppes,Stem erect ;Stem ascending to prostrate ,root-splitters;seeded;Little or no vegetative spread,stems;Stems,0.6;0.1;0.2,pubescent;soft hairs,soft hairs,,,,terminal;lateral,compound,acute,,entire,soft hairs,14,14,14,14,cyme;heads,,,,,,red;yellow,,,,hermaphrodite,,,,,,,insect,pod,,,orbicular,,,,,,water;   sheep;   car or other vehicle;   cattle;domestic animal;   shaken fresh water;   commerce,hairs,,3,01-Oct,,,,,,,,tap root,deep,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 17}, 'fna': {'tabular': 0}}"
Apium inundatum,perennial;perennials;hydrophyte,Pioneer and ephemeral vegetation of periodically inundated shores,"Floating leaves, attached to the substrate ;Submerged, attached to the substrate",rooting horizontal stems at or above soil surface;Irregularly fragmenting (mainly water plants),Stems,0.5;0.1;0.75;0.425; 0.1,glabrous,glabrous,,pinnate,,,compound;pinnate,acute,,lobed and toothed,glabrous,,,,,,,,,,,white,,white,,hermaphrodite,,,,,,,insect,mericarps,,,oblong;ridges;elliptic;laterally compressed,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 12}, 'fna': {'tabular': 0}}"
Arctostaphylos alpinus,perennials;chamaephyte,Tundra,Stem erect ;Stem prostrate ;shrub;Stem ascending to prostrate ,Extensively creeping and rooting at nodes,stems,0.1; 0.225;0.1;0.6,glabrous,glabrous,,,,,simple,obtuse,,entire,,,,,,,,,5-merous,,drooping,white,,,,hermaphrodite,,,,,,,selfed,drupe,,,globose,black,,,,,bird;man,awned,,,,,,,,,,,fibrous,shallow,0.0-10.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 14}, 'fna': {'tabular': 0}}"
Arctostaphylos uva-ursi,perennials;evergreen;chamaephyte,"Coastal dunes, open, acidic temperate and boreal forests, high montane on acidic, sandy, or rocky soils",mats;mat;Stem ascending to prostrate ;Stem prostrate ;Stem erect ;shrub;Shrubs,Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface;buds;root-splitters,stems,0.1-0.5;0.04;0.1;0.07; 0.4; 0.04,glabrous,glabrous,,,,,oblanceolate;elliptic;obovate;obtuse;simple;cuneate,subacute;cuneate;obtuse,cuneate,entire;elliptic;cuneate,,0.5;1,3;1.5,1,2.5;3,racemes,,,5-merous,,urceolate,pink;white,,,,hermaphrodite,10,,,,,,insect,drupe,dry,,globose,red,,,,,bird;water,awns,,,,,,,,,,26,tap root,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 19, 'tabular': 13}, 'fna': {'text': 15, 'tabular': 1}}"
Armeria maritima,perennial;perennials;hemicryptophyte,Coastal shingle habitats;Coastal saltmarshes and saline reedbeds;Coastal dune and sand habitats,Stem erect ,epigeogeneous stems;plant fragments of stem origin;Little or no vegetative spread;root-splitters;seeded,tap root;Stems,1.5;0.2-0.3;0.15;0.05;0.3,,,,,,,simple,obtuse,,entire,glabrous;soft hairs,0.05,0.3,1,15,cyme,,,,,,pink,,,,hermaphrodite,5,,,,,,insect,,,,,,,,,,bird;water;   car or other vehicle;domestic animal;   commerce,awns;awned,,,,,,,,,,18,tap root,deep,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 8, 'tabular': 12}, 'fna': {'text': 7, 'tabular': 0}}"
Arrhenatherum elatius,perennial;perennials;hemicryptophyte,,Stem erect ,Tussock forming graminoid;rhizomes;hypogeogeneous stems;epigeogeneous stems;rhizomatous;stem tubers,stems;rhizomes;rhizomatous,0.5-1.5;0.6; 1.2; 1.5; 1.8;0.003;0.5;1.5,,,,,,,flat;pointed;simple,acute,,entire;flat;scabrous,glabrous;soft hairs,0.4;0.8,40;1,0.4;5,40;32,,bisexual,,,,,green,,,,andromonoecious,,,,,,,wind,,,,,,,,,,water;   sheep;   car or other vehicle;   sheep-dummy;   horse;   cattle;   shaken fresh water;   donkey,awned;bristle;awn;awns;awnless;hairs,,,,,,,,,,14,fibrous,deep,100,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 12, 'tabular': 13}, 'fna': {'text': 12, 'tabular': 0}}"
Astragalus danicus,perennial;perennials;hemicryptophyte,,Stem erect ,root-splitters;seeded;Little or no vegetative spread,stem;Stems,0.2; 0.05; 0.14;0.05;0.35000000000000003;0.05-0.35,soft hairs,soft hairs,,,,,compound,acute,,entire,soft hairs,3,7,3,7,raceme,,,,,,white;blue;purple;blue-purple,,,,hermaphrodite,,,,,,,insect,pod,inflated,,,white,,,,,   shaken fresh water,hair;hairs,,,01-Oct,,,,,,,,,deep,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 14}, 'fna': {'tabular': 0}}"
Atriplex prostrata,annuals;therophyte,"Sea beaches, salt marshes or other saline habitats",Stem erect ;Stem prostrate ;procumbent;Stem ascending to prostrate ,Seeds;Little or no vegetative spread,stems,1.5; 0.4;1.5,,,,,,opposite,simple;hastate;truncate;dentate;triangular;obtuse,subcordate;triangular;acute;obtuse,subcordate;hastate,toothed;entire;serrate,glabrous,2,10,2,10,panicles;spikes,unisexual,naked,,,,green,,,,monoecious,,,,,,,wind,,,,,,,,,,domestic animal,,black;brown,,,1,2.5,1,2.5,,,18,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 2, 'tabular': 10}, 'fna': {'text': 20, 'tabular': 1}}"
Avenula pubescens,perennial;perennials;hemicryptophyte,Dry grasslands;Woodland fringes and clearings and tall forb habitats;Weathered rock and outcrop habitats;Coniferous woodland,Stem erect ,Tussock forming graminoid;stoloniferous;rhizomes;hypogeogeneous stems;epigeogeneous stems,stoloniferous;rhizomes,0.3-1;0.3;1.0;0.5; 0.7,,,,,,Basal;Cauline,folded;simple;blunt;pointed;flat,acute,,entire;flat,soft hairs,0.2,0.85;30,10;0.2,40;30,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,water;   sheep;   cattle,awns;awn;awned;hairs,,,01-Oct,,,,,,,14,fibrous,shallow,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 14}, 'fna': {'text': 10, 'tabular': 0}}"
Baldellia ranunculoides,perennials;helophyte,,Stem erect ;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;stoloniferous;epigeogeneous stems;Little or no vegetative spread;plantlets (pseudovivipary),stoloniferous;Stems,0.125;0.05;0.2;0.05-0.2,glabrous,glabrous,,,,basal;rosette,lanceolate;linear;simple,acute,,entire;linear,glabrous,2,4,2,4,umbellate,,,,,,pale mauve;purplish,,,,hermaphrodite,6,,,,,,selfed,,,,,,,,,,bird;water;   shaken fresh water,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'tabular': 0}}"
Bartsia alpina,perennial;perennials;Perennials;hemicryptophyte,"Tundra;Subarctic and arctic tundra, lakeshores, fens.;Alpine and subalpine grasslands",Stem erect ,Rhizome shortly creeping;root-splitters;Seeds;hypogeogeneous stems,Stem,0.203; 0.15; 0.1;0.1;0.1-0.3;0.2,pubescent;soft hairs,soft hairs,,,sessile,opposite;adaxial;abaxial,obtuse;simple;ovate;serrate,ovate;obtuse,,crenate;ovate;serrate,soft hairs,0.9;1,1.7;2,1,2.5;2,,,,,,,purple,,,,hermaphrodite,4,,,,,,insect,,,,,,,,,,   shaken fresh water,,,60,10-100,1.4,2,1.4,2,,,24,adventitious,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 15}, 'fna': {'text': 16, 'tabular': 1}}"
